RBC	RBC_Score	FBC	FBC_Score
RB09	100	NB68	100
RB09	83.3474	NB76	100
RB10	86.5093	NB21	100
RB11	70.2451	NB49	94.9239
RB10	75.1265	NB26	90.7016
unclassified	53.8527		0
RB09	84.928	unclassified	34.6577
RB12	100	NB93	100
RB11	100	NB53	91.7727
RB11	100	NB89	74.8731
unclassified	40.8511		0
unclassified	42.2654		0
RB12	100	unclassified	69.0093
unclassified	49.4068		0
RB09	100	NB81	100
RB10	100	NB32	100
RB12	100	NB26	100
RB09	87.6376	unclassified	40.5405
RB11	100	NB11	100
RB11	100	unclassified	42.0561
RB12	100	NB36	100
RB11	100	NB82	100
RB12	100	unclassified	45.1695
RB09	100	NB36	77.2766
RB12	100	NB08	100
RB12	100	NB87	100
RB10	72.3025	NB02	83.376
RB10	86.576	NB83	84.8305
unclassified	37.479		0
RB09	85.6298	unclassified	45.4776
unclassified	40.8511		0
RB10	100	unclassified	51.098
RB09	100	NB73	100
RB10	73.5245	unclassified	47.973
unclassified	50.2131		0
RB09	100	NB68	91.7306
RB09	90.7861	unclassified	41.0127
RB09	77.1767	NB02	100
RB11	100	NB11	85.7143
RB09	77.3074	NB02	81.5857
unclassified	50.5042		0
RB10	91.7587	NB61	87.7223
unclassified	40.8511		0
unclassified	50.5042		0
unclassified	50.5042		0
unclassified	36.4706		0
unclassified	38.2278		0
RB10	91.7587	NB07	100
RB09	100	unclassified	38.8514
unclassified	31.5126		0
unclassified	47.8335		0
RB10	91.7587	unclassified	66.4696
unclassified	36.1017		0
unclassified	48.8215		0
RB09	100	unclassified	46.4979
unclassified	69.3086		0
RB11	100	NB76	90.7939
RB10	94.9023	unclassified	41.5606
unclassified	51.0169		0
RB10	100	unclassified	41.1665
RB10	95.7841	NB05	94.8936
unclassified	54.0152		0
RB10	94.9023	NB56	87.7863
unclassified	42.2654		0
unclassified	41.9437		0
RB12	100	NB06	83.3755
RB11	100	unclassified	38.2477
RB09	100	NB84	90.7705
RB12	87.5105	unclassified	46.486
unclassified	61.2985		0
unclassified	50.2131		0
RB11	100	unclassified	42.8329
RB09	100	NB35	100
RB11	100	NB45	95.8475
RB10	95.7519	NB47	100
RB09	100	NB83	95.9322
RB09	76.376	NB42	100
RB12	100	NB41	100
RB12	81.3675	NB93	85.654
unclassified	50.2131		0
RB11	90.7627	NB72	100
RB12	73.2479	NB31	100
unclassified	32.4255		0
RB09	100	unclassified	42.9661
RB09	100	NB79	100
RB10	100	unclassified	69.789
RB10	83.2625	unclassified	48.5182
RB11	100	NB03	70.5085
RB10	100	NB51	94.9367
RB12	100	NB94	100
unclassified	52.2034		0
RB11	85.5932	unclassified	41.2065
RB11	100	NB39	91.5541
RB11	78.5292	NB11	86.6441
unclassified	37.109		0
unclassified	43.5745		0
unclassified	40.5882		0
RB10	72.8122	NB26	100
RB12	94.8718	NB61	95.7663
RB09	87.7223	NB84	91.7019
RB12	100	NB48	86.6328
RB10	94.9023	NB18	100
RB10	87.774	NB47	76.3713
unclassified	37.109		0
RB10	100	NB34	85.5072
unclassified	41.7797		0
RB12	78.29	unclassified	50.4649
RB12	95.8974	NB43	95.7877
unclassified	50.4237		0
RB09	100	NB93	84.0506
RB11	100	NB33	79.78
unclassified	40.4219		0
RB09	100	unclassified	47.2973
RB10	100	NB61	87.7223
unclassified	42.2654		0
RB10	100	NB69	100
unclassified	42.2654		0
RB10	71.7927	NB08	100
RB09	82.7557	unclassified	39.094
RB10	95.7841	NB13	100
RB12	73.9316	NB77	100
unclassified	39.8291		0
RB11	71.344	NB07	100
RB12	95.8974	unclassified	45.8191
unclassified	37.8992		0
unclassified	50.5042		0
unclassified	33.8148		0
RB10	100	unclassified	42.7365
RB10	100	unclassified	45.3547
RB12	90.7692	NB70	100
RB09	100	unclassified	40.2027
unclassified	50.5042		0
RB12	100	NB70	100
unclassified	39.0717		0
RB12	100	NB44	90.8707
RB11	100	unclassified	45.4699
RB10	100	unclassified	61.0313
RB12	94.8718	NB73	100
RB12	90.7795	NB73	100
RB10	91.7587	unclassified	47.1778
RB09	100	unclassified	38.7807
RB10	100	unclassified	44.7749
RB10	100	NB81	81.6498
unclassified	51.3924		0
RB09	100	unclassified	49.8726
RB11	100	NB13	91.7866
unclassified	51.1864		0
RB10	95.7841	NB61	100
RB11	100	NB09	100
RB09	100	unclassified	40.6967
unclassified	46.7511		0
unclassified	60.2542		0
unclassified	36.4706		0
RB10	100	NB29	100
unclassified	43.956		0
RB09	100	NB18	100
unclassified	61.5254		0
RB12	93.1624	NB35	100
RB09	100	NB80	87.4257
unclassified	61.1346		0
RB12	79.0444	NB80	71.2829
RB09	100	NB90	87.7014
RB11	73.2883	NB90	100
RB10	100	NB72	91.7369
RB09	100	NB35	83.9966
RB11	100	NB09	100
RB10	95.7519	unclassified	43.7182
RB12	100	NB77	100
RB09	100	NB35	100
unclassified	38.2353		0
RB12	94.9707	NB68	91.7306
unclassified	35.8347		0
unclassified	45.4622		0
RB10	100	NB86	76.3605
RB09	100	unclassified	49.8726
RB09	100	unclassified	49.5319
RB09	100	unclassified	49.5319
RB11	100	NB21	100
unclassified	38.4095		0
RB09	100	NB18	94.9023
RB10	100	unclassified	46.3866
unclassified	50.2984		0
unclassified	47.3862		0
RB11	77.2881	NB89	95.8545
RB10	95.9528	unclassified	43.9189
unclassified	61.3694		0
RB12	80.5128	NB86	77.2959
unclassified	55.7336		0
RB09	73.3277	unclassified	43.75
unclassified	61.7094		0
unclassified	40		0
unclassified	69.0696		0
RB09	73.3277	NB40	100
RB11	100	NB15	74.0709
RB09	76.63	NB51	87.4262
unclassified	53.204		0
unclassified	42.2654		0
unclassified	50.2131		0
unclassified	39.4198		0
RB11	85.7143	NB48	90.6937
unclassified	29.9574		0
RB09	72.6503	NB38	73.8685
RB10	100	unclassified	36.2331
RB10	100	NB31	100
RB11	100	NB32	93.2146
RB11	100	unclassified	48.7764
unclassified	51.1864		0
unclassified	40.8511		0
RB09	100	NB76	100
RB12	100	NB76	90.8784
RB10	90.8094	NB51	83.2911
RB10	100	NB61	73.7511
RB09	100	unclassified	67.8907
unclassified	36.4706		0
unclassified	42.2654		0
unclassified	51.1864		0
unclassified	43.0976		0
RB10	80.6287	NB93	75.5274
RB11	78.4746	NB50	100
RB09	90.7861	NB28	93.2031
RB09	78.4081	NB87	100
unclassified	66.1538		0
RB09	100	NB15	100
RB09	100	unclassified	45.339
RB10	90.7251	NB25	100
RB09	80.6943	NB76	91.723
RB11	100	unclassified	52.1997
unclassified	37.2269		0
RB12	71.3675	unclassified	38.2727
unclassified	63.3981		0
unclassified	33.1936		0
RB09	95.7735	NB05	100
RB09	100	NB57	100
unclassified	37.5319		0
RB10	100	unclassified	42.6383
RB11	100	NB10	100
RB09	100	NB59	90.6063
RB10	70.5734	unclassified	62.2785
RB10	90.7251	unclassified	43.8758
RB11	90.7627	NB45	100
RB12	100	NB17	100
RB12	100	unclassified	45.0169
RB09	100	NB44	100
RB12	90.7795	NB93	90.8017
unclassified	47.0588		0
RB10	77.403	NB92	100
RB10	78.0776	unclassified	38.5072
unclassified	37.109		0
RB10	100	NB91	100
RB09	100	NB78	100
RB11	100	NB68	100
unclassified	40.8403		0
unclassified	36.4098		0
RB10	91.7587	NB10	95.8369
RB09	100	NB76	90.8784
unclassified	41.7797		0
RB09	90.6859	NB04	100
unclassified	60.355		0
RB09	100	unclassified	37.963
RB12	94.9707	unclassified	63.8442
RB09	74.6825	NB39	100
RB10	91.9056	NB04	82.3379
RB10	70.4333	unclassified	40.3895
RB12	100	NB61	100
RB11	87.743	NB70	91.6879
RB10	87.774	NB07	100
RB10	90.7251	unclassified	38.2727
RB11	72.2034	NB15	100
RB09	100	NB41	100
RB12	73.1769	NB42	87.5635
unclassified	53.0802		0
unclassified	51.3924		0
RB09	100	NB83	100
RB10	100	NB25	94.9066
RB10	86.5093	NB61	100
RB09	100	NB78	73.1064
unclassified	50.1709		0
unclassified	40.8511		0
RB11	100	NB19	100
RB11	100	NB42	100
RB09	100	NB77	100
RB09	100	NB83	100
RB09	100	NB39	100
unclassified	48.8235		0
unclassified	50.5042		0
unclassified	49.7479		0
RB12	95.8927	NB76	85.6419
unclassified	50.5042		0
RB09	100	NB45	100
RB10	89.0399	NB36	76.3404
RB09	100	NB09	100
unclassified	50.5042		0
RB10	100	NB61	100
unclassified	39.3191		0
unclassified	39.3345		0
RB11	87.7119	NB50	100
RB09	100	unclassified	53.7084
RB12	100	NB18	91.5038
RB10	80.4588	NB43	100
unclassified	48.0169		0
unclassified	40.9091		0
unclassified	42.2654		0
unclassified	40.8511		0
RB10	74.1716	unclassified	39.9156
RB10	100	NB50	100
RB09	100	NB76	100
RB10	90.8094	NB40	85.7506
RB12	84.0738	NB63	86.6779
RB10	95.7841	NB34	85.5925
RB09	100	NB32	91.5182
unclassified	46.559		0
unclassified	31.9456		0
unclassified	42.1097		0
RB10	100	unclassified	53.9373
RB09	87.8276	NB36	100
RB09	74.6825	NB30	86.6441
RB11	100	NB70	100
RB09	93.2261	NB11	100
RB11	100	unclassified	65.313
RB12	85.7502	NB93	72.4051
RB11	100	unclassified	48.0541
unclassified	50.3804		0
RB10	100	NB92	100
RB10	100	unclassified	45.1064
RB12	87.5105	NB34	85.5072
RB12	93.1624	unclassified	47.5786
unclassified	37.109		0
RB10	90.8938	unclassified	34.6577
RB11	100	unclassified	63.1224
RB10	90.7251	NB84	100
RB10	100	NB34	79.1134
RB12	94.8718	unclassified	46.2838
RB09	100	unclassified	49.4505
RB12	100	NB05	100
unclassified	39.4118		0
RB10	100	NB46	100
unclassified	68.3811		0
RB11	100	unclassified	36.2331
unclassified	45.4699		0
RB12	88.0342	NB93	100
RB09	100	NB20	95.7806
RB10	83.2625	NB64	100
unclassified	42.2654		0
RB11	91.7797	unclassified	49.2827
unclassified	41.0213		0
RB12	100	unclassified	34.039
RB09	100	NB67	100
RB12	100	NB20	100
RB10	73.407	NB75	100
unclassified	38.3966		0
RB09	100	NB54	93.2031
unclassified	40.8511		0
RB12	79.0598	unclassified	66.1852
RB10	90.6542	NB92	80.6122
RB11	100	NB05	84.9362
unclassified	66.4418		0
unclassified	42.4473		0
RB12	100	unclassified	34.6577
unclassified	50.5042		0
RB09	84.928	NB04	87.628
RB11	87.6271	NB21	100
RB12	91.7016	unclassified	59.0525
unclassified	40.8511		0
unclassified	30.0085		0
RB10	78.5896	unclassified	41.9983
RB12	77.094	NB83	100
RB09	100	NB51	100
unclassified	45.9643		0
unclassified	44.3787		0
RB09	82.7265	NB52	100
RB09	77.1767	NB68	79.3691
RB10	100	unclassified	39.0388
unclassified	40.4219		0
RB10	100	NB48	100
RB10	100	NB82	100
RB10	94.9023	NB82	90.6859
unclassified	41.7797		0
RB09	78.6622	NB10	100
RB11	100	NB31	100
unclassified	50.5042		0
RB09	95.9356	NB45	100
RB10	83.5174	NB07	100
unclassified	39.8319		0
unclassified	42.4473		0
RB11	78.4446	NB26	100
RB09	73.3277	NB71	91.5959
unclassified	40.8511		0
RB09	100	NB60	100
RB10	100	unclassified	57.1308
RB09	100	NB33	80.7107
RB11	100	NB04	100
unclassified	65.1771		0
RB11	90.678	NB93	85.654
RB11	75.4861	unclassified	56.4666
RB09	100	NB87	100
unclassified	40.5748		0
RB10	86.4911	NB33	100
RB12	90.7692	NB23	100
unclassified	42.2654		0
RB09	100	NB89	100
RB09	100	NB36	100
RB12	100	unclassified	41.6596
RB12	100	NB94	100
RB10	72.2597	NB92	94.898
RB09	100	unclassified	40.5932
RB10	85.6661	NB23	100
unclassified	42.2654		0
RB11	90.7016	NB37	100
RB10	100	NB83	100
RB10	100	unclassified	34.6577
RB11	100	NB04	94.8805
RB12	100	NB68	100
RB09	100	NB81	84.9327
unclassified	40.3361		0
RB09	100	NB89	100
RB11	73.2203	unclassified	44.416
unclassified	59.9153		0
RB09	87.8276	NB41	90.747
unclassified	44.7458		0
RB09	100	NB70	100
RB10	100	unclassified	35.9018
RB11	100	NB73	87.7238
RB10	84.7069	NB68	72.8048
unclassified	45.1695		0
RB11	100	NB95	86.4292
RB10	100	unclassified	37.1622
RB09	100	NB73	100
RB09	93.2375	NB10	100
RB09	85.6298	NB52	100
RB10	87.3524	NB86	85.5442
RB12	86.4957	unclassified	39.7468
RB11	84.7844	NB30	100
RB12	77.7871	unclassified	39.6624
RB10	91.7587	unclassified	44.5957
RB10	95.7841	NB06	100
RB10	78.0776	NB75	100
unclassified	38.6555		0
RB09	100	NB35	100
RB12	100	unclassified	66.61
unclassified	41.4346		0
RB12	100	NB22	95.8475
RB10	100	NB65	85.6661
RB10	100	NB93	100
unclassified	59.2561		0
unclassified	62.9567		0
unclassified	64.0982		0
unclassified	51.1864		0
unclassified	48.0169		0
unclassified	42.2654		0
RB09	84.928	NB29	100
unclassified	46.1538		0
unclassified	37.5959		0
RB12	85.4701	NB11	100
unclassified	37.109		0
RB12	100	unclassified	42.0964
unclassified	34.7899		0
unclassified	40.8511		0
RB10	95.7519	NB86	100
RB09	74.0898	NB95	100
RB09	100	unclassified	44.9789
RB10	95.9528	NB80	100
RB12	94.8718	NB83	95.9322
RB12	71.3675	NB42	100
unclassified	67.5379		0
unclassified	47.1429		0
RB09	90.6859	unclassified	37.1622
RB09	82.2485	NB81	100
RB09	87.743	unclassified	52.1115
RB09	78.4081	unclassified	56.0606
unclassified	40.8511		0
RB10	100	NB04	100
RB10	100	unclassified	35.9256
RB11	100	NB84	100
RB10	76.7205	NB29	100
unclassified	42.2654		0
RB09	100	NB86	95.9184
RB11	85.5932	NB96	100
RB11	100	unclassified	43.8715
unclassified	41.7797		0
unclassified	36.4706		0
RB12	100	NB93	94.9367
RB09	90.7016	unclassified	56.3082
unclassified	28.4264		0
unclassified	33.4465		0
unclassified	42.2654		0
RB09	100	NB07	75.5932
unclassified	35.641		0
RB12	100	NB12	91.6178
unclassified	36.1558		0
RB11	100	NB07	90.678
RB12	100	NB76	100
RB10	100	NB43	100
RB10	95.7841	NB12	100
RB09	100	NB70	78.7956
RB09	100	unclassified	44.35
RB12	100	NB08	100
RB09	95.7735	unclassified	69.3095
RB11	100	NB76	85.7264
RB12	87.6068	NB65	100
RB09	86.4522	NB83	100
RB11	100	unclassified	61.2658
RB09	100	unclassified	44.7079
RB09	100	unclassified	42.2915
unclassified	40.8511		0
RB11	78.2203	unclassified	40.5932
RB09	74.3872	unclassified	36.0169
unclassified	69.0617		0
RB10	100	NB15	83.4459
RB10	95.7841	NB75	95.8615
RB10	91.7587	unclassified	54.8904
RB12	100	NB83	90.8475
RB10	100	unclassified	49.5319
RB09	100	NB39	100
RB09	100	NB70	100
unclassified	40.9207		0
RB12	72.2222	unclassified	68.9772
RB12	100	NB67	100
RB10	100	unclassified	43.7765
RB09	95.9356	NB89	100
unclassified	63.5043		0
RB09	100	NB93	100
RB09	100	NB25	100
RB10	76.3912	unclassified	42.0608
RB12	83.9316	NB43	71.4406
RB10	100	NB69	100
RB10	100	NB26	100
unclassified	50.7692		0
unclassified	28.2182		0
RB10	71.2829	NB07	100
RB09	86.8132	NB40	74.7243
unclassified	41.7797		0
unclassified	42.2654		0
unclassified	55.6118		0
RB10	91.7587	NB21	100
RB09	100	unclassified	38.027
RB09	100	unclassified	36.3331
RB10	85.6661	NB72	90.7251
unclassified	37.4472		0
unclassified	37.109		0
RB12	94.8718	NB64	95.8615
RB12	90.7795	unclassified	44.7749
RB12	100	NB56	91.5182
RB09	100	NB04	100
RB12	90.7692	NB48	100
unclassified	40.7595		0
RB09	100	NB88	100
RB09	100	NB11	100
RB09	100	NB46	100
unclassified	42.2654		0
RB10	100	unclassified	43.1703
RB11	100	unclassified	39.645
RB11	100	NB17	100
RB10	75.5481	NB44	95.7735
unclassified	40.8511		0
unclassified	41.4346		0
RB12	100	NB84	72.0576
unclassified	43.3643		0
unclassified	42.2654		0
unclassified	47.8445		0
RB12	100	NB87	90.7939
RB09	78.191	NB95	76.5055
RB09	100	unclassified	34.6577
RB12	81.2821	NB84	100
unclassified	39.3068		0
RB10	81.4503	unclassified	36.6894
unclassified	36.0169		0
RB12	75.4701	unclassified	45.0253
unclassified	59.6788		0
RB09	94.9196	NB09	100
unclassified	38.6633		0
unclassified	42.2654		0
unclassified	36.4706		0
RB10	100	NB44	85.6298
RB10	100	NB44	100
RB11	100	NB24	100
RB12	91.6178	NB90	100
RB09	91.8713	NB76	91.723
RB10	100	NB46	91.6107
unclassified	33.9241		0
RB11	100	unclassified	53.1753
unclassified	56.9231		0
RB12	94.8718	NB96	100
RB09	100	NB28	100
RB10	90.7392	unclassified	41.4634
unclassified	51.3924		0
RB09	91.5469	NB76	100
RB09	100	unclassified	46.2057
RB09	87.4049	NB87	95.777
RB10	100	NB70	86.514
RB12	79.7436	NB34	100
RB10	73.237	unclassified	39.6115
unclassified	52.8814		0
RB11	95.7735	NB80	93.2031
RB09	100	NB07	85.7627
unclassified	69.2438		0
RB10	100	NB56	80.4919
RB10	91.7587	NB64	100
RB09	100	NB87	100
unclassified	42.2654		0
RB12	100	NB67	73.9277
unclassified	37.8698		0
RB09	95.9356	unclassified	35.3339
RB11	91.7797	unclassified	63.8677
RB12	84.6154	NB79	73.4401
RB12	100	NB60	95.7735
RB11	100	NB04	78.413
unclassified	67.8632		0
unclassified	40.8511		0
RB11	90.7016	NB08	100
RB09	100	NB04	70.2218
RB11	100	NB41	100
RB12	100	NB75	100
unclassified	47.0588		0
RB10	87.6805	unclassified	41.2014
RB10	100	unclassified	44.7749
RB11	100	NB90	90.7549
RB12	100	NB52	74.618
unclassified	38.3051		0
RB12	90.7692	unclassified	68.1664
RB10	100	unclassified	42.4061
RB10	100	unclassified	43.75
RB10	100	NB32	100
RB11	100	NB07	100
RB11	87.743	NB07	100
unclassified	42.2654		0
RB10	100	unclassified	47.929
unclassified	37.395		0
RB09	100	NB39	100
RB09	100	NB39	95.777
unclassified	67.5608		0
unclassified	36.0877		0
RB10	95.9528	unclassified	43.8183
unclassified	45.4852		0
RB09	73.3277	unclassified	42.8207
RB09	100	NB53	91.7727
RB12	100	unclassified	60.6086
unclassified	42.2654		0
unclassified	36.4706		0
RB09	83.9119	unclassified	42.0608
RB11	100	NB80	100
RB11	90.7627	NB43	81.4659
RB11	100	NB13	100
unclassified	41.7797		0
RB12	74.0989	unclassified	43.1208
RB10	100	unclassified	34.6577
RB09	73.3728	NB77	100
RB09	100	NB78	100
RB09	91.5326	NB10	75.7009
RB09	100	unclassified	42.2072
unclassified	34.8229		0
RB09	100	NB68	100
RB12	71.1966	NB54	95.7519
RB11	79.9662	unclassified	40.4057
RB09	100	unclassified	68.4211
RB09	95.9356	unclassified	40.4742
RB11	82.2034	NB32	100
RB11	95.7735	NB51	90.8861
unclassified	35.4237		0
RB10	75.1265	unclassified	47.1138
RB09	82.2485	NB25	100
RB09	100	NB67	100
RB11	100	NB06	100
RB12	87.8458	unclassified	51.7477
RB09	90.6859	NB77	95.7735
RB11	85.5932	unclassified	39.6115
unclassified	44.5194		0
RB09	100	unclassified	41.9847
RB12	100	unclassified	46.1149
RB10	79.3423	unclassified	39.1194
unclassified	53.6752		0
RB10	80.8836	unclassified	46.4587
RB09	100	unclassified	41.8919
unclassified	42.2654		0
unclassified	32.9114		0
unclassified	50.5042		0
RB12	100	NB32	95.7591
unclassified	33.2773		0
unclassified	43.8136		0
unclassified	39.7295		0
RB11	72.1893	NB32	100
RB10	100	NB32	100
unclassified	44.3316		0
RB09	100	NB02	94.8849
RB09	100	NB06	83.3755
RB09	100	unclassified	44.4351
RB09	76.3314	NB78	90.6383
RB10	100	NB66	78.3193
RB10	100	unclassified	38.7151
unclassified	45.9506		0
unclassified	51.7949		0
RB12	73.1769	unclassified	45.2605
RB12	70.5128	NB76	100
RB09	100	NB32	91.6879
unclassified	38.6306		0
RB11	100	unclassified	42.2523
RB10	100	unclassified	35.9018
RB10	91.7587	NB56	100
unclassified	51.1864		0
RB10	100	unclassified	36.1181
RB11	77.4576	unclassified	42.9054
unclassified	39.661		0
RB11	100	NB22	95.8475
unclassified	51.3924		0
RB11	87.743	NB91	100
RB10	100	NB80	71.2829
RB12	91.6178	NB87	100
unclassified	42.2654		0
RB12	87.6923	unclassified	35.3441
RB10	100	NB46	100
unclassified	42.2654		0
RB10	85.6661	unclassified	40.2027
unclassified	42.2654		0
RB09	82.2485	NB80	72.2175
RB10	79.7639	NB83	93.2203
RB12	100	unclassified	36.5772
RB09	78.4081	unclassified	34.2711
unclassified	55.7265		0
RB09	91.8713	NB08	73.3333
RB11	100	NB89	91.709
RB09	100	NB35	87.7223
RB12	80.0503	NB40	100
RB10	87.6805	NB03	100
RB11	74.8943	unclassified	65.3683
unclassified	51.3924		0
RB11	91.7797	NB41	100
unclassified	50.2984		0
RB09	94.9196	NB81	87.5421
unclassified	38.9873		0
unclassified	64.8398		0
RB11	100	unclassified	43.5963
unclassified	47.1429		0
RB12	75.2137	unclassified	43.9597
unclassified	53.5897		0
RB09	90.6859	unclassified	55.5556
RB09	100	NB91	100
RB11	83.8983	unclassified	41.3764
RB09	84.0813	NB60	95.7735
unclassified	50.5042		0
RB11	100	NB41	100
RB12	85.9179	NB84	100
RB09	94.9281	NB81	100
RB11	100	NB70	100
unclassified	44.8739		0
RB10	100	unclassified	44.3124
RB09	100	NB81	95.8754
RB09	100	NB82	100
RB10	87.6805	NB34	74.9361
unclassified	42.2654		0
RB10	100	unclassified	42.5064
RB10	100	unclassified	38.6768
RB09	100	unclassified	49.5319
RB10	100	unclassified	44.7749
RB11	76.4407	NB45	81.4407
RB10	70.742	unclassified	41.4201
unclassified	36.5106		0
RB09	100	NB56	100
RB10	91.7587	NB11	86.5596
RB12	90.7692	NB33	85.7022
RB11	100	unclassified	41.3007
RB11	100	unclassified	44.8685
RB12	100	NB30	71.344
RB12	100	NB83	90.678
RB12	100	NB31	100
RB11	100	NB51	100
unclassified	53.6752		0
RB10	100	NB10	79.8641
RB09	95.9356	NB87	93.2432
unclassified	62.5632		0
unclassified	35.1899		0
unclassified	37.5531		0
unclassified	62.3077		0
RB12	86.5884	unclassified	41.443
RB12	73.3445	NB24	85.7022
RB09	100	NB91	100
RB10	100	NB80	100
RB12	90.7795	NB61	100
unclassified	66.2732		0
RB10	90.7392	NB07	94.9153
RB09	100	NB90	100
unclassified	39.661		0
RB12	100	NB83	100
unclassified	57.094		0
RB12	90.5983	NB29	100
RB09	100	unclassified	35.3441
unclassified	40.8511		0
RB11	87.8276	NB84	100
RB10	90.8241	unclassified	44.7749
RB10	72.2175	unclassified	44.7749
RB12	90.8634	unclassified	42.0964
RB10	87.774	unclassified	36.2331
RB12	72.2222	NB61	100
unclassified	30.0085		0
RB11	100	unclassified	41.2014
RB10	100	unclassified	35.3288
RB09	100	unclassified	34.8229
unclassified	45.3617		0
RB11	83.8983	NB19	100
unclassified	35.1648		0
RB10	100	NB76	95.9459
unclassified	50.5042		0
RB10	90.7392	NB04	100
RB10	100	unclassified	40.8129
RB11	100	NB56	73.1128
RB09	100	unclassified	36.6894
unclassified	56.1389		0
RB12	86.4957	unclassified	41.9847
RB12	100	unclassified	41.9983
RB12	100	NB28	100
RB10	94.9023	NB18	100
RB09	100	unclassified	41.8428
RB10	85.7504	unclassified	37.9544
unclassified	44.3404		0
RB10	100	NB22	85.678
unclassified	56.8893		0
unclassified	45.0297		0
RB10	100	NB50	100
RB12	95.8927	NB54	100
RB10	100	unclassified	39.5072
RB10	82.2934	unclassified	39.3761
RB11	100	NB28	79.6941
RB10	100	NB36	100
RB10	100	NB51	82.2785
unclassified	36.3483		0
RB09	95.9425	NB62	80.727
RB10	100	NB68	100
RB09	78.4081	NB49	100
RB12	100	NB61	95.7663
unclassified	38.1513		0
RB10	91.7587	NB64	86.6554
RB12	90.7692	NB34	85.5925
unclassified	38.188		0
unclassified	47.7966		0
RB09	71.7667	NB43	91.8281
RB10	80.4588	NB05	87.7447
RB09	100	unclassified	35.7082
RB10	100	NB50	95.9528
RB10	91.7587	NB68	100
RB09	100	NB22	77.2881
RB11	100	NB43	100
unclassified	67.7966		0
RB11	95.8475	NB90	90.7549
RB11	87.6271	unclassified	39.9156
RB12	80.7692	unclassified	40.2532
RB09	84.928	unclassified	67.202
RB12	84.6154	unclassified	46.2838
RB11	95.9322	unclassified	42.8329
unclassified	56.9983		0
RB11	100	NB94	100
RB10	95.7841	NB31	100
unclassified	51.1864		0
unclassified	46.2384		0
RB11	100	unclassified	37.7646
RB09	100	NB37	70.777
RB09	100	NB79	85.6661
unclassified	43.2068		0
unclassified	37.7853		0
RB11	91.716	NB17	100
RB10	100	NB15	71.2838
RB10	100	NB80	76.5506
unclassified	44.7899		0
RB09	100	NB08	90.7173
RB10	87.6805	NB08	100
RB10	100	NB37	75.7601
unclassified	42.7487		0
RB10	100	NB63	100
RB10	73.0185	NB44	100
RB10	100	NB56	100
RB11	100	NB15	100
RB11	100	NB42	100
RB12	100	NB18	87.4257
RB10	100	NB63	100
RB12	100	NB39	100
unclassified	41.4346		0
RB10	95.7841	unclassified	48.6076
RB12	100	unclassified	46.3229
unclassified	56.5767		0
RB09	100	NB35	100
unclassified	59.322		0
RB09	91.5469	unclassified	59.1871
RB11	100	NB59	100
unclassified	42.2654		0
unclassified	52.7966		0
RB10	100	unclassified	35.473
RB12	80.3419	NB07	100
RB12	100	unclassified	42.9773
RB10	100	unclassified	44.7749
RB10	100	NB30	100
RB10	93.2546	unclassified	49.7036
RB11	100	unclassified	43.6655
RB11	78.3898	NB66	77.3109
RB10	87.6805	NB70	95.9288
unclassified	58.9271		0
RB09	72.5656	NB71	100
RB11	100	unclassified	48.9469
RB10	100	NB46	100
RB09	100	unclassified	46.8936
unclassified	46.3744		0
RB10	73.4401	unclassified	58.7838
RB10	91.7587	unclassified	41.5175
RB10	100	NB56	90.7549
RB12	94.9707	unclassified	57.2513
RB09	100	NB77	90.7016
unclassified	44.6218		0
RB09	87.7223	unclassified	38.8514
RB10	83.5174	NB50	100
RB09	100	NB49	100
unclassified	34.317		0
RB09	88.1657	NB06	90.8017
RB09	84.0813	NB35	100
RB12	100	unclassified	39.7133
RB09	100	NB55	100
RB10	94.9023	NB12	100
RB12	100	NB42	100
RB10	85.7504	unclassified	34.6577
unclassified	45.0253		0
RB09	100	NB78	100
RB10	91.7587	NB80	79.2693
RB10	91.7587	unclassified	57.1671
RB10	86.6779	NB12	83.3194
unclassified	42.2654		0
RB11	90.7627	NB15	78.8851
unclassified	51.3924		0
RB11	95.7735	unclassified	60.6723
unclassified	23.0769		0
unclassified	31.5567		0
unclassified	64.6154		0
RB10	74.7049	unclassified	34.6577
RB12	100	unclassified	43.3673
RB10	100	NB08	73.2489
RB09	91.5326	NB83	100
unclassified	46.9492		0
RB09	100	NB69	100
RB10	100	unclassified	45.6081
RB09	73.3277	unclassified	34.6577
unclassified	40.8511		0
RB10	100	NB69	100
RB09	100	NB83	95.7627
RB11	100	NB71	75.6367
RB12	100	unclassified	41.076
RB09	100	NB49	100
RB12	100	NB75	85.7264
RB10	100	NB46	77.5168
RB09	90.7016	NB89	100
unclassified	42.2654		0
RB11	100	NB76	100
RB10	100	unclassified	36.2553
unclassified	37.2054		0
RB11	100	NB94	100
unclassified	36.4706		0
RB09	100	NB39	100
unclassified	58.4317		0
unclassified	43.5745		0
RB10	100	unclassified	44.6323
RB10	94.941	NB73	90.7928
RB10	100	NB22	100
RB09	100	NB81	100
RB10	100	NB31	100
RB09	100	NB80	100
unclassified	37.109		0
RB10	100	NB93	95.865
unclassified	44.322		0
RB09	100	NB64	94.9324
RB10	100	NB75	100
unclassified	63.828		0
RB10	100	NB43	91.8281
RB09	100	NB64	100
RB09	85.7988	NB25	100
RB09	78.4928	unclassified	42.5424
RB09	81.4564	unclassified	50.2128
RB09	100	NB49	100
